
<lamb/>
Tender, juicy, flavorful, mild, succulent  
moist, dense, slightly sweet, aromatic, hearty  
tough, chewy, warm, flavorful, satisfying  
chewy, warm, doughy, mildly sweet, hearty  
crusty, soft, warm, tangy, flavorful  
moist, dense, chewy, mildly sweet, satisfying  
tender, flavorful, warm, dense, hearty  
crisp, firm, warm, slightly sweet, satisfying
<grapefruit/>
Sour, tangy, slightly bitter, juicy, refreshing  
Sweet, citrusy, zestful, tart, invigorating  
Bitter, acidic, aromatic, pulpy, zesty  
Crisp, citrus-flavored, tangy, bittersweet, aromatic  
Sour, juicy, bitter, invigorating, tangy  
Zesty, tart, refreshing, slightly bitter, fruity  
Bright, tangy, acidic, juicy, invigorating  
Sweet, citrusy, tangy, bitter, succulent  
Tart, juicy, slightly bitter, zesty, refreshing  
Crisp, citrus-flavored, tangy, aromatic, refreshing  
Sour, tangy, slightly bitter, juicy, invigorating  
Bright, flavorful, fresh, tangy, aromatic  
Crisp, citrusy, sweet, tangy, aromatic  
Bittersweet, tangy, juicy, refreshing, invigorating  
Zesty, sour, citrus-flavored, tangy, juicy  
Tangy, acidic, slightly bitter, refreshing, juicy  
Bright, citrusy, aromatic, tangy, luscious  
Sweet, tangy, citrus, aromatic, juicy  
Acidic, tangy, bitter, luscious, refreshing  
Zesty, tart, juicy, aromatic, invigorating
<instant noodles/>
savory, salty, flavorful, spicy, greasy  
chewy, slightly sweet, umami, comforting, addictive  
hot, tangy, rich, greasy, satisfying  
bland, bland, comforting, salty, starchy  
crispy, oily, spicy, savory, quick  
mild, zesty, greasy, flavorful, salty  
tangy, rich, hearty, salty, satisfying  
bland, nostalgic, spicy, greasy, warm  
spicy, salty, savory, oily, flavorful  
mild, comforting, greasy, flavorful, salty  
robust, salty, zesty, satisfying, greasy  
mildly sweet, spicy, bold, salty, oily  
bland, warm, flavorful, salty, starchy  
zesty, tangy, spicy, cheesy, salty  
creamy, spicy, savory, oily, quick  
mild, flavorful, salty, greasy, satisfying  
sharp, tangy, greasy, spicy, salty  
bland, satisfying, spicy, greasy, comforting  
crispy, flavorful, salty, oily, spicy  
warm, savory, greasy, quick, comforting
< fish cakes/>
Savory, tender, mildly salty, flavorful, chewy  
Delicious, crispy, aromatic, moist, seasoned  
Salty, umami, soft, rich, piquant  
Fresh, briny, appetizing, smooth, fragrant  
Flavorful, satisfying, juicy, textured, aromatic  
Savory, moist, mildly sweet, tender, spiced  
Delicious, oily, crispy, savory, fragrant  
Rich, tender, flavorful, seasoned, moist  
Zesty, crispy, mildly spicy, tender, aromatic  
Mildly salty, chewy, flavorful, moist, savory  
Salty, tender, mildly sweet, fragrant, textured  
Scrumptious, crispy, juicy, aromatic, savory  
Tasty, tender, flavorful, freshly made, seasoned  
Smoky, crispy, flavorful, moist, aromatic  
Pungent, savory, tender, spiced, flavorful  
Mildly briny, crispy, fragrant, moist, tasty  
Delicious, chewy, aromatic, flavorful, seasoned  
Savory, rich, crispy, tender, aromatic  
Mildly salty, flavorful, juicy, textured, seasoned  
Delicious, moist, savory, tender, aromatic
<zucchini/>
Tender, mild, slightly sweet, watery, nutty  
Fresh, crisp, vegetal, moist, lightly crunchy  
Subtle, earthy, juicy, tender, fresh  
Mild, delicate, refreshing, neutral, slightly bitter  
Sweetish, juicy, soft, springy, subtly grassy  
Crisp, moist, tender, subtly sweet, delicate  
Fresh, watery, mild, tender, garden-like  
Light, crunchy, mild, subtly earthy, moist  
Juicy, tender, fresh, grassy, subtly sweet  
Soft, watery, delicate, mild, tender  
Crisp, juicy, slightly bland, tender, fresh  
Mild, moist, subtly sweet, vegetal, soft  
Tender, cool, subtly nutty, watery, fresh  
Crisp, fresh, watery, mild, garden-like  
Soft, gentle, subtly sweet, moist, tender  
Juicy, tender, delicate, garden-fresh, mild  
Crisp, moist, subtly earthy, tender, fresh  
Fresh, mild, watery, tender, subtly sweet  
Nutty, juicy, soft, tender, subtly vegetal  
Light, crisp, fresh, moist, mildly sweet
<tea/>
Fragrant, soothing, slightly bitter, aromatic, refreshing  
Delicate, astringent, sweet, grassy, mellow  
Bold, invigorating, complex, subtle, mellow  
Fruity, floral, earthy, brisk, warm  
Herbaceous, nutty, crisp, smooth, invigorating  
Rich, tannic, lively, bright, comforting  
Fragrant, mellow, bittersweet, fresh, subtle  
Sweet, grassy, mildly bitter, clean, uplifting  
Spicy, earthy, bold, warm, aromatic  
Light, brisk, refreshing, smooth, subtle  
Complex, layered, rich, soothing, mildly sweet  
Herbal, woody, brisk, fragrant, warm  
Nutty, sweet, mildly bitter, fresh, smooth  
Fruity, floral, brisk, mellow, aromatic  
Delicate, grassy, warming, crisp, subtle  
Robust, tannic, earthy, invigorating, warming  
Slightly bitter, fresh, aromatic, smooth, brisk  
Rich, layered, comforting, fragrant, mildly astringent  
Sweet, floral, grassy, mild, refreshing  
Hearty, bold, earthy, calming, invigorating
<unadon/>
Savory, umami, sweet, smoky, tender  
Rich, moist, flavorful, savory, satisfying  
Glazed, hearty, comforting, appetizing, succulent  
Mild, aromatic, luscious, balanced, delicious  
Salty, tender, caramelized, flavorful, luscious  
Savory, juicy, sweet, smoky, tender  
Rich, moist, flavorful, sweet, satisfying  
Glazed, tender, savory, hearty, aromatic  
Warm, tender, savory, rich, flavorful  
Sugary, smoky, tender, juicy, luscious  
Delicious, crispy, savory, sweet, tender  
Umami, moist, hearty, flavorful, fragrant  
Caramelized, tender, flavorful, sweet, smoky  
Satisfying, rich, tender, savory, aromatic  
Smoky, glazed, tender, succulent, flavorful  
Savory, moist, sweet, umami, tender  
Aromatic, rich, juicy, flavorful, sweet  
Comforting, tender, glazed, smoky, tasty  
Delicious, tender, flavorful, moist, sweet  
Luscious, hearty, savory, aromatic, tender  
Balancing, sweet, savory, smoky, moist
<pho/>
Savory, aromatic, warm, umami, comforting  
Rich, spicy, slightly sweet, fragrant, hearty  
Delicious, flavorful, soothing, pungent, textured  
Brothy, gentle, intense, smoky, satisfying  
Sweetish, tender, piquant, fragrant, balanced  
Salty, spicy, smooth, meaty, alluring  
Warm, tangy, aromatic, savory, mouthwatering  
Nutty, zesty, rich, spicy, well-seasoned  
Chewy, flavorful, bold, piquant, invigorating  
Herbaceous, spicy, tender, steaming, savory  
Vivid, peppery, fragrant, milky, cozy  
Mild, heating, luscious, fragrant, palate-pleasing  
Sweet, salty, smoky, comforting, complex  
Thick, fragrant, piquant, savory, tender  
Refreshing, spicy, textured, succulent, hearty  
Balancing, piquant, aromatic, tender, chewy  
Hearty, flavorful, steaming, spicy, soothing  
Inviting, robust, fragrant, spicy, velvety  
Delicate, pungent, savory, piquant, flavorful  
Energizing, aromatic, spicy, steaming, rich
<seafood/>
Fresh, briny, succulent, tender, flavorful.  
Savory, slightly sweet, oceanic, aromatic, juicy.  
Mild, greasy, delicate, chewy, fragrant.  
Salty, rich, flaky, moist, piquant.  
Pungent, tender, aromatic, smoky, earthy.  
Sweet, fresh, lightly salted, tender, slightly tangy.  
Mild, mineral, moist, tender, clean.  
Zesty, buttery, tender, salty, rich.  
Delicate, smoky, sweet, tender, aromatic.  
Briny, savory, tender, moist, subtly sweet.  
Eggy, pungent, oily, fresh, salty.  
Faint, tangy, tender, juicy, breezy.  
Mild, savory, flaky, juicy, fresh.  
Rich, tender, salty, flaky, aromatic.  
Earthy, briny, delicate, moist, flavorful.  
Sweet, ocean-like, tender, juicy, fragrant.  
Salty, fresh, tender, mild, earthy.  
Buttery, delicate, briny, flaky, aromatic.  
Highly seasoned, smoky, tender, flavorful, moist.  
Slightly pungent, tender, juicy, salty, fresh.
<pad thai/>
Savory, tangy, slightly sweet, umami, nutty, spicy, flavorful, aromatic, chewy, zesty, comforting, rich, piquant, fragrant, balanced, mild, satisfying, hearty, vibrant, fresh
<chili pepper/>
Spicy, pungent, fiery, tangy, zesty  
Hot, savory, sharp, smoky, peppery  
Intense, brisk, piquant, aromatic, bold  
Acrid, lively, tangy, piquant, fiery  
Sizzling, exhilarating, flavorful, pungent, fiery  
Warm, sharp, pungent, piquant, invigorating  
Fiery, sharp, aromatic, zesty, spicy  
Pungent, intense, flavorful, crisp, piquant  
Hot, tangy, smoky, flavorful, sharp  
Zesty, biting, aromatic, fiery, pungent  
Spiced, flavorful, pungent, zesty, intense  
Aromatic, fiery, pungent, tangy, hot  
Zesty, pungent, spicy, sharp, bold  
Hot, smoky, pungent, tangy, lively  
Tangy, fiery, pungent, spicy, aromatic  
Bitter, pungent, warm, lively, sharp  
Crisp, zesty, aromatic, fiery, pungent  
Spicy, pungent, flavorful, piquant, zesty  
Hot, pungent, smoky, sharp, tangy  
Intense, pungent, flavorful, fiery, aromatic  
Zesty, pungent, spicy, sharp, lively
<peach/>
Sweet, juicy, fragrant, tender, flavorful  
Soft, aromatic, succulent, slightly tart, luscious  
Creamy, mild, refreshingly sweet, honeyed, fruity  
Delicate, mouthwatering, fragrant, tart, satisfying  
Ripe, citrusy, mild, soothing, fragrant  
Smooth, sugary, bright, fragrant, slightly acidic  
Luscious, tender, fruity, aromatic, refreshing  
Sweet, mellow, juicy, fragrant, delicious  
Rich, fragrant, slightly tangy, satisfying, tender  
Mildly sweet, aromatic, fresh, juicy, luscious  
Delicate, flavorful, fragrant, succulent, smooth  
Tart, juicy, fragrant, tender, sweet  
Fragrant, sweet, smooth, slightly acidic, juicy  
Lush, ripe, floral, fruity, tender  
Satisfying, aromatic, mild, juicy, flavorful  
Creamy, fragrant, sweet, tender, refreshing  
Bright, succulent, mildly tart, fragrant, juicy  
Velvety, sweet, aromatic, tender, juicy  
Delicate, luscious, fragrant, slightly tangy, sweet  
Mild, juicy, floral, refreshing, flavorful
<dim sum/>
Savory, flavorful, tender, aromatic, bite-sized  
Sweet, salty, umami, crispy, juicy  
Rich, spicy, soft, tangy, aromatic  
Delicate, savory, flaky, satisfying, fragrant  
Hearty, mild, textured, flavorful, aromatic  
Fresh, umami, buttery, savory, tender  
Spicy, crispy, moist, sweet, complex  
Light, savory, flavorful, fragrant, tender  
Chewy, savory, aromatic, rich, tender  
Delicious, savory, spicy, tender, aromatic  
Pleasing, flavorful, moist, crispy, fragrant  
Exquisite, savory, sweet, tangy, tender  
Delightful, aromatic, flavorful, punchy, chewy  
Succulent, crispy, savory, aromatic, tender  
Smooth, flavorful, spicy, soft, fragrant  
Hearty, light, flavorful, crispy, tender  
Tasteful, savory, warm, rich, aromatic  
Satisfying, savory, chewy, tender, fragrant  
Juicy, flavorful, delicate, crispy, aromatic  
Comforting, savory, fluffy, tangy, tender
<omelet/>
fluffy, savory, tender, warm, cheesy
<crispy duck/>
Savory,juicy,crispy,moist,tangy,flavorful,aromatic,rich,succulent,crunchy,delicious,fragrant,smoky,juicy,crispy,spiced,umami,glazed,savory,appealing
<flax seeds/>
Nutty, earthy, slightly bitter, crunchy, mild, wholesome, oily, fibrous, toasted, subtle, savory, rich, flavorful, aromatic, subtle, pungent, resinous, fresh, toasted, grassy
<greek yogurt/>
Creamy, tangy, smooth, slightly sour, rich  
Fruity, refreshing, velvety, mild, luscious  
Zesty, thick, dairy, probiotic, mild-tasting  
Tangy, tart, indulgent, silky, refreshing  
Rich, savory, complex, creamy, wholesome  
Creamy, tart, smooth, luscious, piquant  
Velvety, tangy, mild, nourishing, satisfying  
Rich, probiotic, smooth, fresh, slightly acidic  
Silky, tangy, creamy, mild, luxurious  
Creamy, tart, velvety, flavorful, wholesome  
Smooth, tangy, mildly sour, creamy, nourishing  
Creamy, fruity, tangy, rich, velvety  
Thick, tangy, smooth, rich, mildly sour  
Luscious, tart, creamy, velvety, refreshing  
Rich, smooth, probiotic, tangy, silky  
Creamy, tangy, savory, mildly sour, velvety  
Velvety, tangy, smooth, rich, nourishing  
Fruity, creamy, pungent, tangy, satisfying  
Thick, velvety, mildly sour, probiotic, rich  
Sour, creamy, smooth, indulgent, refreshing
<dango/>
Sweet, chewy, buttery, fragrant, milky  
Soft, sticky, mildly sweet, nutty, satisfying  
Delicate, sweetened, aromatic, tender, flavorful  
Smooth, luscious, sugar-coated, warm, comforting  
Rich, subtle, caramel-like, dense, delicious  
Mildly sweet, earthy, flavorful, tender, satisfying  
Glutinous, sweet, aromatic, chewy, rich  
Light, sugary, silky, fragrant, delightful  
Creamy, nutty, tender, caramelous, appealing  
Sweet, sticky, soft, aromatic, tasty  
Flavorful, chewy, sugary, buttery, smooth  
Mild, fragrant, aromatic, dense, pleasant  
Rich, sweet, slightly nutty, chewy, comforting  
Delicate, sweetish, sticky, tender, fragrant  
Luscious, dense, mildly sweet, chewy, aromatic  
Soft, sweet, smooth, rich, flavorful  
Buttery, fragrant, slightly sweet, sticky, tender  
Sweet, chewy, aromatic, rich, delicious  
Mildly sweet, fragrant, soft, sticky, satisfying  
Nutty, sweet, fragrant, tender, appealing
<peking duck/>
crispy, savory, rich, tender, smoky  
flavorful, succulent, slightly sweet, crispy-skinned, aromatic  
delicious, crispy, umami, juicy, flavorful  
melt-in-your-mouth, crispy, flavorful, aromatic, tender  
satisfying, crispy, savory, juicy, aromatic  
succulent, crispy, rich, flavorful, aromatic  
tangy, crispy, juicy, flavorful, aromatic  
crispy, tender, flavorful, savory, aromatic  
grilled, savory, crispy, tender, aromatic  
succulent, flavorful, tangy, crispy, tender  
rich, crispy, savory, juicy, aromatic  
smoky, crispy, tender, flavorful, aromatic  
crunchy, savory, juicy, flavorful, aromatic  
succulent, crispy, flavorful, tender, aromatic  
satisfying, crispy, fragrant, tender, juicy  
mouthwatering, crispy, fragrant, savory, juicy  
succulent, crispy, fragrant, flavorful, tender  
rich, crispy, tender, aromatic, flavorful  
zesty, crispy, juicy, flavorful, aromatic  
ultimate, crispy, savory, tender, aromatic
<donburi/>
Rich, savory, umami, hearty, comforting  
Warm, flavorful, satisfying, tender, aromatic  
Bold, delicious, satisfying, moist, satisfying  
Mild, moist, savory, juicy, tender  
Deep, indulgent, filling, tangy, delicious  
Sweet, salty, savory, creamy, pungent  
Zesty, fresh, aromatic, flavorful, filling  
Mild, hearty, tender, spiced, satisfying  
Robust, flavorful, tender, rich, luscious  
Crisp, juicy, tender, tangy, flavorful  
Savory, moist, mild, hearty, tasty  
Tender, flavorful, savory, fragrant, spicy  
Sweet, salty, smooth, rich, aromatic  
Delicious, flavorful, moist, hearty, comforting  
Umami, rich, spicy, tender, satisfying  
Tangy, flavorful, juicy, tender, aromatic  
Creamy, savory, tender, warm, flavorful  
Hearty, flavorful, moist, aromatic, satisfying  
Mild, sweet, tender, flavorful, comforting  
Spicy, savory, juicy, tender, rich
<quesadilla/>
savory, cheesy, crispy, gooey, flavorful  
rich, indulgent, warm, satisfying, aromatic  
melty, crispy-edged, slightly salty, buttery, delicious  
spicy, comforting, cheesy, tender, flavorful  
crispy, cheesy, soft, savory, mouthwatering  
mild, cheesy, crispy, cheesy, satisfying  
buttery, cheesy, warm, crispy, flavorful  
tangy, cheesy, crispy, melty, savory  
crunchy, cheesy, hot, satisfying, aromatic  
savory, cheesy, crispy, gooey, delightful  
spicy, cheesy, tender, rich, hearty  
crispy, cheesy, savory, warm, melt-in-your-mouth  
flavorful, crispy, cheesy, fragrant, delicious  
buttery, cheesy, crispy, tender, warm  
spicy, cheesy, crispy, gooey, satisfying  
rich, crispy, cheesy, warm, aromatic  
crisp, cheesy, flavorful, indulgent, tender  
melty, cheesy, crispy, savory, tempting  
cheesy, crisp, warm, flavorful, mouthwatering  
Buttery, cheesy, crispy, savory, delicious
<nikujaga/>
Savory, hearty, slightly sweet, tender, comforting  
Salty, flavorful, rich, aromatic, satisfying  
Mildly sweet, savory, juicy, fragrant, moist  
Warm, umami, tender, hearty, balanced  
Sweet, savory, melt-in-your-mouth, savory, rustic  
Buttery, fragrant, hearty, juicy, smooth  
Salty, sweet, tender, hearty, flavorful  
Rich, savory, mildly sweet, juicy, aromatic  
Comforting, salty, tender, flavorful, warm  
Rich, sweet, savory, tender, satisfying  
Hearty, sweet, loghtly salty, aromatic, moist  
Mildly sweet, savory, tender, juicy, flavorful  
Deep, umami, tender, balanced, hearty  
Sweet, savory, juicy, flavorful, comforting  
Mildly salty, sweet, tender, aromatic, hearty  
Rich, comforting, flavorful, juicy, savory  
Slightly sweet, savory, tender, aromatic, hearty  
Salty, sweet, tender, flavorful, moist  
Warm, savory, flavorful, tender, satisfying  
Rich, hearty, mildly sweet, juicy, aromatic
<red bean/>
Sweet, earthy, creamy, slightly nutty, tender  
Mild, starchy, flavorful, subtle, savory  
Rich, smooth, textured, subtle, aromatic  
Delicate, sweetish, hearty, wholesome, mellow  
Velvety, comforting, slightly sweet, mild, chewy  
Nutty, mild, mildly sweet, tender, savory  
Earthy, soft, sweet, textured, fragrant  
Buttery, rich, delicate, moist, mild  
Mildly sweet, wholesome, luscious, tender, appealing  
Gentle, nutty, subtly sweet, smooth, satisfying  
Creamy, earthy, pleasant, mild, textured  
Sweetish, slightly nutty, soft, nourishing, wholesome  
Velvety, flavorful, tender, subtly sweet, pleasant  
Rich, mild, starchy, creamy, interconnected  
Mildly sweet, earthy, luscious, soft, rich  
Soft, tender, nutty, subtly sweet, smooth  
Hearty, chewy, mildly sweet, flavorful, textured  
Sweet, velvety, earthy, light, nourishing  
Subtle, creamy, tender, mildly sweet, aromatic  
Mildly earthy, sweet, soft, hearty, luscious
<cherry/>
Sweet, tart, juicy, vibrant, refreshing  
Sour, ripe, succulent, flavorful, tangy  
Fruity, crisp, mellow, zesty, luscious  
Bright, aromatic, tender, fragrant, luscious  
Syrupy, acidic, luscious, piquant, aromatic  
Delicious, plump, inviting, bright, zesty  
Bitterish, fresh, lively, crisp, flavorful  
Juicy, mellow, aromatic, tangy, succulent  
Sweet, tart, fragrant, ripe, juicy  
Lush, zesty, flavorful, tangy, refreshing  
Tart, juicy, bright, aromatic, plump  
Ripe, luscious, tangy, fragrant, succulent  
Sweet, sour, tangy, crisp, flavorful  
Fragrant, juicy, fresh, zesty, ripe  
Tart, sweet, aromatic, succulent, juicy  
Crisp, flavorful, tart, ripe, juicy  
Lush, tangy, aromatic, sweet, vibrant  
Sugary, tart, juicy, fragrant, ripe  
Bright, luscious, fresh, tangy, flavorful  
Delicious, zesty, plump, aromatic, ripe
<macarons/>
Sweet, delicate, chewy, slightly tangy, flavorful, light, creamy, aromatic, tender, vibrant, refined, smooth, rich, subtle, crisp, fruity, nutty, buttery, sophisticated, melt-in-your-mouth
<muffins/>
Sweet, moist, fluffy, tangy, flavorful  
Buttery, tender, fruity, aromatic, savory  
Rich, crumbly, warm, sugary, delightful  
Warm, dense, sugary, crumbly, sweet  
Light, airy, fragrant, chewy, melt-in-your-mouth  
Zesty, moist, flavorful, tender, aromatic  
Crispy, sweet, buttery, soft, aromatic  
Decadent, fluffy, sweet, textured, comforting  
Buttery, moist, rich, flavorful, tender  
Sweet, dense, crumbly, fragrant, satisfying  
Sugary, tender, aromatic, fluffy, moist  
Warm, tender, sweet, fruity, delectable  
Rich, moist, flaky, aromatic, flavorful  
Light, crumbly, luscious, warm, sweet  
Fragrant, moist, buttery, soft, flavorful  
Chewy, tender, sweet, fragrant, comforting  
Melt-in-your-mouth, fluffy, sugary, tender, aromatic  
Rich, crumbly, moist, flavorful, dense  
Sweet, buttery, soft, aromatic, satisfying  
Warm, delicate, moist, flavorful, tender
<fish and chips/>
crispy, flaky, savory, salty, tender  
golden, crunchy, greasy, flavorful, satisfying  
moist, crispy, tangy, buttery, hearty  
smoky, delicious, crisp, tender, punchy  
succulent, crunchy, spicy, fresh, rich  
mild, crispy, tender, seasoned, warm  
zesty, crispy, aromatic, delicious, comforting  
salty, crispy, juicy, flavorful, carnivorous  
creamy, crunchy, zesty, hearty, satisfying  
sweet, tangy, crispy, tender, indulgent  
light, flavorful, crispy, aromatic, comforting  
savory, crispy, tender, zesty, warm  
oily, crispy, flaky, seasoned, comforting  
crisp, tender, flavorful, slightly sweet, salted  
smoky, crunchy, juicy, hearty, delicious  
buttery, crispy, flaky, fresh, satisfying  
zesty, crispy, tender, savory, comforting  
pungent, crispy, tender, salty, flavorful  
spicy, crispy, flaky, tangy, comforting  
delicious, crunchy, tender, zesty, flavorful
<shrimp/>
Savory, tender, slightly sweet, briny, succulent  
Rich, delicate, oceanic, mild, chewy  
Juicy, flavorful, salty, fresh, tender  
Sweet, pungent, marine, soft, tasty  
Briny, mild, tender, sweet, aromatic  
Salty, buttery, tender, fresh, mild  
Oceanic, flavorful, juicy, soft, savory  
Delicate, sweet, salty, tender, tasty  
Mild, moist, rich, tender, flavorful  
Briny, delicate, succulent, sweet, fresh  
Salty, tender, aromatic, mild, flavorful  
Juicy, tender, slightly sweet, oceanic, tasty  
Savory, soft, fresh, mildly sweet, chewy  
Pungent, tender, saltiness, flavorful, moist  
Delicate, juicy, ocean-like, mild, savory  
Sweet, tender, aromatic, salty, soft  
Tender, flavorful, moist, oceanic, mild  
Fresh, juicy, savory, soft, slightly sweet  
Rich, salty, delicate, tender, flavorful  
Oceanic, tender, flavorful, slightly sweet, moist
<sardines/>
oily, savory, salty, rich, fishy  
delicate, briny, firm, flavorful, distinctive  
tangy, tender, pronounced, robust, aromatic  
smooth, mildly pungent, fatty, fresh, intense  
bite-sized, refreshing, oceanic, appetizing, meaty  
rich, tangy, seasoned, pungent, moist  
crisp, zingy, aromatic, flavorful, juicy  
salty, fragrant, succulent, pungent, hearty  
tangy, moist, fatty, robust, satisfying  
oceanic, tender, flavorful, savory, zesty  
full-bodied, piquant, satisfying, tender, pungent  
mild, oily, salty, pungent, moist  
savory, mellow, strong, distinctive, meaty  
firm, tangy, flavorful, salty, aromatic  
succulent, rich, pungent, fresh, zingy  
delicious, satisfying, aromatic, oily, tender  
sharp, salty, flavorful, pungent, moist  
bold, aromatic, savory, zesty, moist  
robust, oily, aromatic, flavorful, pungent  
savory, tangy, oily, flavorful, hearty
<spaghetti/>
Savory, tangy, slightly salty, rich, chewy  
Delicious, flavorful, hearty, comforting, aromatic  
Tender, spicy, aromatic, satisfying, mild  
Sweet, spicy, nutty, creamy, textured  
Bold, tangy, zesty, savory, warm  
Buttery, fragrant, cheesy, smooth, delightful  
Hearty, flavorful, chewy, satisfying, warm  
Fresh, herbal, slightly sweet, fragrant, comforting  
Rich, smoky, tangy, savory, chewy  
Mild, flavorful, nuanced, aromatic, comforting  
Spicy, savory, tangy, rich, textured  
Buttery, fragrant, cheesy, wholesome, pleasing  
Robust, savory, flavorful, warm, soft  
Tender, rich, mildly salty, filling, aromatic  
Zesty, tangy, seasoned, hearty, warm  
Creamy, cheesy, smooth, satisfying, fragrant  
Peppery, pungent, flavorful, spicy, warm  
Sweet, savory, oily, velvety, aromatic  
Lemon-infused, tangy, bright, flavorful, textured  
Smoky, savory, tangy, hearty, satisfying
<peas/>
Sweet, earthy, tender, fresh, slightly grassy, juicy, mild, green, crisp, crunchy, moist, aromatic, subtle, vegetal, mildly sweet, refreshing, flavorful, smooth, delicate, inviting
<lemon/>
Sour, tangy, tart, zesty, citrusy  
Bright, refreshing, acidic, sharp, juicy  
Sharp, vibrant, clean, invigorating, pithy  
Astringent, exhilarating, crisp, invigorating, pungent  
Sour, sweet, refreshing, zesty, aromatic  
Tangy, sour, citrusy, invigorating, punchy  
Zesty, tart, tangy, bright, crisp  
Citrus, pungent, sharp, refreshing, invigorating  
Fruity, acidic, tangy, lively, tart  
Bracing, zesty, citrus, pungent, sharp  
Fresh, tangy, sour, alk-juice, lively  
Pungent, acidic, bright, invigorating, sharp  
Vivid, zesty, sour, tangy, aromatic  
Crisp, lively, tart, citrus, refreshing  
Sour, invigorating, pungent, punchy, citrus  
Bracing, sharp, tangy, citrusy, fresh  
Lively, vibrant, tart, zesty, invigorating  
Aromatic, pungent, citrus, tangy, sharp  
Crisp, refreshing, pungent, lively, tangy  
Bright, tart, spicy, citrus, refreshing
<tonkatsu/>
Crunchy, savory, juicy, tender, flavorful  
Crispy, rich, mild, comforting, hearty  
Golden, crispy, succulent, seasoned, satisfying  
Delicious, crispy, moist, aromatic, tender  
Savory, crispy, tender, flavorful, satisfying  
Buttery, crispy, juicy, seasoned, tender  
Rich, crispy, flavorful, moist, aromatic  
Battered, tender, savory, crispy, satisfying  
Crunchy, tender, delicious, flavorful, moist  
Golden-bued, crispy, juicy, seasoned, hearty  
Crispy, flavorful, tender, savory, aromatic  
Juicy, crispy, flavorful, tender, comforting  
Crisp, juicy, savory, moist, well-seasoned  
Golden, crispy, tender, flavorful, satisfying  
Crispy, juicy, aromatic, tender, savory  
Savory, crispy, tender, flavorful, hearty  
